X,Y,Name,Description,Date,Zone,Diameter,Length,Image
-74.1761,40.76864,,,3/26,Zone 4,medium,medium,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGRiZEKVP56Y_dVV-nMVZpLiTLFUuY8n9CbmIK-JkG_E8krxt7CzeTP9BS3njncHm5-7qRrW6phiqaW9Zz_wmA4kK-KmhWx0tq1UfKqekhDu09IP20YfwYSFrEBgetvBIINfXB1m295H-eTl575tcXIQIZIgf-6ld_H-EWaEvFqybSoh4zpbaYT5bjG4y-c2QF4AEddwEybAJxQdY4-ZE5Ua5gG01tY73X0MKq34a_H1OWH-pSzqM0P6e98?authuser=0&fife=s16383
-74.17521,40.77017,,,3/26,Zone 4,large,large,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSCO64WPKykkZrBOeXVW4-PSuXmz9snAjMhzCWFzeQyWBKoHl5xnXfP66m2tv2euHkNEuJA3-M5g3Eoi9E3_47im2fzlK1Mr03A1Mj4H4Rb0DEElUXf9hdJjgxq3Rd8moI3uoc3gVIKc9yQOMRTH9E7hUjj3lzqO_u5i7hxpqRe3VFtJIxEtr4UegEHjsruLWHVF1lIq9AQy0xjCwYjteB5pXIGWVtCQxnhoVwrwfwXjrFKAGCvnG-4pB4?authuser=0&fife=s16383
-74.17622,40.76885,,,3/26,Zone 4,medium,small,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGShJErFW0URcaVoBrq6L1oia3WNBXa8LCkgIkMzd4jOaY9Qmv2L5za6jM8rf1uWPLaK-uLLa4P_h_1n5e3Q6vANZZ-4-EcBYoC0lutFXMrGooI8GTxnxykv0CGxFaUJvjuDmoD6eJwPIqbQwFYhULddztQagU-_3Vf7In1ziTPLlSx1sSrr0gCEvDcgjJs5VanAShWmHMrOYrgzx9rU3xU5F8b9gFF3CynoplIgNDV8YVEVmg8_0cp_j8o?authuser=0&fife=s16383
-74.1749,40.76936,,,3/26,Zone 4,large,large,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSJclVhuxYG1Ovs3CbXSKNHVojKjF_SDmghMydaWu9DGvMchDcCYulpTb2JW4dNJVefGhnSQ_a10Zz2dQprOPTQPkEVq-_esBhdPlQXEX63QN99oRVHyZXwPAi26XUnjau112TUBAFgAWA_h8WQ6sa7xmpUS03Vt8lTqYhBrwpEm7_zsmtAn4TiRfPdlQhMpieXcuzHNP0l5wQ-j8rQInRVHxeJ3kuII7cJUjt1_H6ems_Gu8mp2PEa1Ec?authuser=0&fife=s16383
-74.17428,40.77026,,,3/26,Zone 4,large,medium,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSyAJ5Y5q-9ensFPTGEQjWoPBEamBL_q4oJq1S4tqjyWLUCfmQOvXCsrIQq5UYfusU0xHChLDpkD7xHPh1rdOMTlH9EjaO77kDc_Ur-nkdll337wEtFyHKoNByf-QQYndOrjfiGhLOy8GLEA1_8ANGcIm66qh60BeKHFyyCEjalz_pjDKbSA3i64v8LuHRjZQVqH4wfjroVuejkjx0mnWxEbEEoWCd49QeSStZkyb-5JmqFK8kmGf2J8hQ?authuser=0&fife=s16383
-74.17638,40.76876,,,3/26,Zone 4,medium,small,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQPavlXQ_kEG0BfVyiVXOrt2PqnsQTz4_vHjoBGSMr_yeOTXh7mn1jscWiufQZ6aPZ58w2lOHbmza6a7V3euLoM24mRoOPPr3WKVHWP80bpLavsZV_bP86f1zvgp-L_rN_KefIjZ4IKicE9hYllbYL-ZYnw0G4XwKG2CflL5Vr123LVdaBrJpvsGS6e9n_S_WiaRY0tkR0vm0IIWbJ77YQbDiAcoMcXSNQK8e367Q42ud1kGW1nPm-oBOs?authuser=0&fife=s16383
-74.17607,40.76887,,,3/26,Zone 4,medium,small,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSh0iap_yv1qIfWx8M4T-Vz1zbRsx02yTtwSdlvZav3foIcBvsU2-ougjUuNmkoE9t7RCN0TnvENQ0Xv_HLP8OyrfUWeX2zcNANj4VlzhiDSm4Z5RgunZRoGCLjyIT1-7gnALoqqNX1pTb7D7KFN-e7l6qLmRXV2YYtx0R7VRrKqTutA477_1J9DXrgySv6KUhV_PsqVyVFLE86XO4zawir_Ksl-YBa0GWgnyZ82G35K5jNRk4E3lmGaJo?authuser=0&fife=s16383
-74.175,40.771,,,3/26,Zone 4,large,medium,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGTNPXAMfjHv8WTkLqI5BOe_ZBmTURiSVtm6q8v_m_GYyy0lKki-_KkXZhjKIRpENKNMqPbSFIoEMwF-EhM1X0vQpSC3KvAyhbB5LYO7nHi-OspKFlWz48hE_T3wAQP8OZRvXgZQ14-HdIC7ROf6bYw6A4TVLLB5Q5okTKHrW0mlwUQR5fUqu9hBP4QdvJYES-51PqAchGtt-d1JpxFcWxZPnXso8KGJoJ2aaAYtDMyw-f4YxKRrMmd5jqU?authuser=0&fife=s16383
-74.1752,40.77018,,,3/26,Zone 4,large,medium,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGRO9btkfrvVkBmMNuWn_sii_iOfeTZqAurIxEdOES_p7NHQQ0xlxBVkiy-wD2iEqSHzBCNG-gz5oUSyXEnLbaNypQJh5GyuagWLLQ5hUrQ0dc5oZwJJc3UqzFpkhsZGTPnA-VwRkUrvbZQhlu63_IiLQwwrXMvmVe_XA0jjmI8HLuhm1jo39YWJVtvrq1EeVUvP0utC1kYQKNnz4atI07VueR4HfmHyqnJoFIPRIhrKMTvbgiiBtyE0DRA?authuser=0&fife=s16383
-74.17569,40.76888,,,3/26,Zone 4,medium,large,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQvHLAfedEJZ-Ww3Irk2tVCAWOJO300ofSBbLZSII4A-xVl-q-_qxiSPNasTIlA07vL75IHq8RSDbnbxWWfUNa9G3lrSY4z9AJO6bu2VvaD3I2B3XrbWKXqfxdFfkJqH4wJS7tikGW2WHY1D1M4uiElmXxsPOUeQAzmH10zKcH9LyyAR9qsVZs30N6Xf5EbUOM2N1x9mv90YWZ98kdS_GytFEaoOJmxz9PzOs0U8f3XWg9xJPv9WKHR_kE?authuser=0&fife=s16383
