X,Y,Name,Description,Date,Zone,Diameter,Length,Image
-74.17688,40.77252,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_126.jpg
-74.1780381,40.7708322,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_127.jpg
-74.17679,40.77258,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_128.jpg
-74.1770809,40.7714063,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_129.jpg
-74.1771138,40.7714993,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_130.jpg
-74.17684,40.77263,,,3/26,4,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_131.jpg
-74.1771175,40.7714622,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_132.jpg
-74.17692,40.772,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_133.jpg
-74.17699,40.77189,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_134.jpg
-74.17704,40.77168,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_135.jpg
-74.17719,40.77156,,,3/26,4,large,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_136.jpg
-74.17706,40.77186,,,3/26,4,medium,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_137.jpg
-74.17707,40.77175,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_138.jpg
-74.17857,40.7722,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_139.jpg
-74.17708,40.77181,,,4/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_140.jpg
-74.17704,40.7718,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_141.jpg
-74.17714,40.77166,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_142.jpg
-74.1748,40.76844,,,3/26,4,medium,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_143.jpg
-74.18067,40.7588,,,11/19,1,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_144.jpg
